series_index,n,data_mode,cycle_index,bst_insert_total_s,bst_search_total_s,bst_search_per_op_s,bst_delete_total_s,bst_delete_per_op_s,avl_insert_total_s,avl_search_total_s,avl_search_per_op_s,avl_delete_total_s,avl_delete_per_op_s,array_search_total_s,array_search_per_op_s
8,131072,random,6,0.026366209,0,0,0.000619791,6.19791e-07,0.031893667,4.1e-08,4.1e-11,0.000594709,5.94709e-07,4.2e-08,4.2e-11
8,131072,random,7,0.025241083,4.2e-08,4.2e-11,0.000563125,5.63125e-07,0.031419375,4.2e-08,4.2e-11,0.0004125,4.125e-07,0,0
8,131072,random,8,0.02392,4.2e-08,4.2e-11,0.000366542,3.66542e-07,0.029375833,0,0,0.000336334,3.36334e-07,4.2e-08,4.2e-11
8,131072,random,9,0.02423475,4.1e-08,4.1e-11,0.000385375,3.85375e-07,0.030480041,4.2e-08,4.2e-11,0.000386084,3.86084e-07,0,0
8,131072,random,10,0.02425575,4.1e-08,4.1e-11,0.000493667,4.93667e-07,0.029842666,0,0,0.000501292,5.01292e-07,4.1e-08,4.1e-11
8,131072,sorted,11,19.285786292,4.2e-08,4.2e-11,0.322631209,0.000322631209,0.016480667,4.2e-08,4.2e-11,0.001118375,1.118375e-06,4.2e-08,4.2e-11
8,131072,sorted,12,19.255585792,4.2e-08,4.2e-11,0.335426833,0.000335426833,0.016301375,4.1e-08,4.1e-11,0.000979,9.79e-07,4.2e-08,4.2e-11
8,131072,sorted,13,19.197414042,4.2e-08,4.2e-11,0.335502459,0.000335502459,0.016208917,0,0,0.000960292,9.60292e-07,4.2e-08,4.2e-11
8,131072,sorted,14,19.457587,4.2e-08,4.2e-11,0.335612083,0.000335612083,0.016291334,0,0,0.001065167,1.065167e-06,4.2e-08,4.2e-11
8,131072,sorted,15,19.507588833,4.2e-08,4.2e-11,0.328226375,0.000328226375,0.016767458,0,0,0.001135292,1.135292e-06,4.2e-08,4.2e-11
8,131072,sorted,16,19.297816542,4.2e-08,4.2e-11,0.335344875,0.000335344875,0.016077166,0,0,0.00134125,1.34125e-06,4.2e-08,4.2e-11
8,131072,sorted,17,19.898195042,4.2e-08,4.2e-11,0.349894292,0.000349894292,0.016662042,0,0,0.000935292,9.35292e-07,4.2e-08,4.2e-11
8,131072,sorted,18,20.046818209,4.1e-08,4.1e-11,0.34273125,0.00034273125,0.014695666,4.2e-08,4.2e-11,0.000758625,7.58625e-07,0,0
8,131072,sorted,19,20.05780825,4.2e-08,4.2e-11,0.343584292,0.000343584292,0.016202166,4.2e-08,4.2e-11,0.001071,1.071e-06,4.2e-08,4.2e-11
8,131072,sorted,20,19.992077833,4.2e-08,4.2e-11,0.34303825,0.00034303825,0.015040708,0,0,0.000955417,9.55417e-07,0,0
